"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"NIXON","2121 N KEELER AVE","Hermosa","07:45 AM-02:45 PM","7:30 AM","","PK-6","(773) 534-4375","http://nixon.cps.edu","","","True","","","","","","""Fall OST programs available!"" <a href=""http://nixon.cps.edu/ost.html"">[1]</a>
","41.919589"," -87.731426"
"NOBEL","4127 W HIRSCH ST","Humboldt Park","7:45 AM-2:45 PM","7:15 AM","3:00 PM- 5:30 PM","PK-8","(773) 534-4365","http://nobel.cps.edu/","","","","","","","","","","41.906163"," -87.72996"
"NORTH RIVER","3729 W LELAND AVE","Albany Park","07:45 AM-02:45 PM","7:30 AM","2:45 PM TO 5:30 PM","PK-8","(773) 534-0590","https://northriveres.org","https://northriveres.org/apps/contact","","True","","","","5:15 PM","CSI Afterschool","""CSI-After School Programs"" <a href=""https://www.northriveres.org/apps/pages/index.jsp?uREC_ID=567255&type=d"">[1]</a>
""CSI Afterschool (with permission slips)"" <a href=""https://www.northriveres.org/apps/bell_schedules/"">[2]</a>
","41.966411"," -87.721226"
"NORTHWEST","5252 W PALMER ST","Belmont Cragin","08:30 AM-03:30 PM","7:30","3:30-5:00","6-8","(773) 534-3250","https://northwest.cps.edu","https://northwest.cps.edu/apps/contact","","","","","","","","","41.920619"," -87.757926"
"NORWOOD PARK","5900 N NINA AVE","Norwood Park","08:15 AM - 03:15 PM","08:00 AM","03:15 - 05:30 PM","PK-8","(773) 534-1198","http://norwoodpark.cps.edu","","True","True","7:15-8am","NPS staff","""Norwood Park is proud to offer before and aftercare at school hosted by NPS staff."" <a href=""http://norwoodpark.cps.edu/before-and-aftercare.html"">[1]</a>
","5:30pm","NPS staff","""Norwood Park is proud to offer before and aftercare at school hosted by NPS staff."" <a href=""http://norwoodpark.cps.edu/before-and-aftercare.html"">[1]</a>
","41.98816"," -87.802985"
"OGDEN ES","24 W WALTON ST","Near North Side","EAST: 8:30 AM-3:30 PM, JENNER 8:45AM-3:45PM","EAST: 8:00AM, JENNER: 8:15AM","JENNER: OPEN UNTIL 5:00PM","PK-8","(773) 534-8110","https://ogden.cps.edu","https://ogden.cps.edu/apps/contact","True","True","7:35am","On-site","""Study Hall in Library (free)

- 7:35am, every day"" <a href=""https://www.ogden.cps.edu/apps/pages/index.jsp?uREC_ID=437221&type=d"">[1]</a>
","5pm","On-site","""Tutoring (free)

- 3:10pm to 5pm, Monday through Thursday
- 2:20pm to 5pm, Fridays"" <a href=""https://www.ogden.cps.edu/apps/pages/index.jsp?uREC_ID=437221&type=d"">[1]</a>
","41.899984"," -87.629302"
"OGLESBY","7646 S GREEN ST","Auburn Gresham","08:45 AM-03:45 PM","","3:45PM-5:30PM","PK-8","(773) 535-3060","https://oglesby.cps.edu","https://oglesby.cps.edu/apps/contact","","","","","","","","","41.754678"," -87.645475"
"OKEEFFE","6940 S MERRILL AVE","South Shore","08:45 AM-03:45 PM","8:30 AM","4:00 PM - 5:30 PM","PK-8","(773) 535-0600","https://okeeffesoe.org","https://okeeffesoe.org/apps/contact","","True","","","","6:00pm","","""O’Keeffe enrichment programs will take place on Wednesday’s and Friday’s from 4:00pm-6:00pm (depending on the program) weekly. Academic programs will be held on Tuesday’s and Thursdays’s of each week from 4:00pm-6:00pm (depending on the program)."" <a href=""https://www.okeeffesoe.org/apps/pages/index.jsp?uREC_ID=376899&type=d"">[1]</a>
""- [After School](/apps/pages/index.jsp?uREC_ID=376899&type=d)"" <a href=""https://www.okeeffesoe.org/apps/pages/index.jsp?uREC_ID=376894&type=d"">[2]</a>
","41.76861"," -87.572812"
"ONAHAN","6634 W RAVEN ST","Norwood Park","07:45 AM-02:45 PM","7:30 AM","3:00-6:00 PM","PK-8","(773) 534-1180","https://onahanschool.org","https://onahanschool.org/apps/contact","True","True","6:45-7:45 a.m.","ROAR Care","""We are excited to offer our tuition-based before/after school program, ROAR Care again next year."" <a href=""https://www.onahanschool.org/apps/news/show_news.jsp?REC_ID=924633&id=0"">[1]</a>
""We are pleased to offer the tuition-based before and after school, ROAR Care, for the 2024-2025 school-year."" <a href=""https://www.onahanschool.org/apps/pages/index.jsp?uREC_ID=577074&type=d"">[2]</a>
""We are excited to offer our tuition-based before/after school program, ROAR Care again next year."" <a href=""https://www.onahanschool.org/apps/news/show_news.jsp?REC_ID=923656&id=0"">[3]</a>
","6:00 p.m.","ROAR Care","""We are excited to offer our tuition-based before/after school program, ROAR Care again next year."" <a href=""https://www.onahanschool.org/apps/news/show_news.jsp?REC_ID=924633&id=0"">[1]</a>
""The program runs Monday-Friday from 6:45-7:45 a.m. and 2:45-6:00 p.m."" <a href=""https://www.onahanschool.org/apps/pages/index.jsp?uREC_ID=577074&type=d"">[2]</a>
""We are excited to offer our tuition-based before/after school program, ROAR Care again next year."" <a href=""https://www.onahanschool.org/apps/news/show_news.jsp?REC_ID=923656&id=0"">[3]</a>
","41.993798"," -87.793114"
"ORIOLE PARK","5424 N OKETO AVE","Norwood Park","8:00AM - 3:00PM","7:45AM","3:00PM-6:00PM","PK-8","(773) 534-1201","https://orioleparkschool.com","","","","","","","","","","41.978509"," -87.81206"
"OROZCO","1940 W 18TH ST","Lower West Side","08:00 AM-03:00 PM","7:30 AM","3:00 PM-5:00 PM","PK-8","(773) 534-7215","http://orozco.cps.edu","http://orozco.cps.edu/contact/","","True","","","","","Mr. Reznar","""Mr. Reznar runs the after school programs at Orozco and is the School’s Wellness Champion."" <a href=""http://orozco.cps.edu/robert-reznar.html"">[1]</a>
","41.857763"," -87.675216"
"ORTIZ DE DOMINGUEZ","3000 S LAWNDALE AVE","South Lawndale","07:45 AM-02:45 PM","7:30 AM","2:45 PM- 4:00 PM","PK-2","(773) 534-1600","https://ortizdedominguez.cps.edu","https://ortizdedominguez.cps.edu/apps/contact","","True","","","","March 21","OST","""OST will begin the week of January 22- January 25"" <a href=""https://www.ortizdedominguez.cps.edu/apps/pages/?type=d&uREC_ID=566033&pREC_ID=1090796"">[1]</a>
","41.838798"," -87.717196"
"OTIS","525 N ARMOUR ST","West Town","07:30 AM - 02:30 PM","7:15 AM","2:30 PM - 4:00 PM","PK-8","(773) 534-7665","https://otis.cps.edu","https://otis.cps.edu/apps/contact","","","","","","","","","41.891814"," -87.665432"
"OTOOLE","6550 S SEELEY AVE","West Englewood","08:45 AM-03:45 PM","","","PK-8","(773) 535-9040","https://otoolelions.org","https://otoolelions.org/apps/contact","","","","","","","","","41.774579"," -87.674871"
"OWEN","8247 S CHRISTIANA AVE","Ashburn","7:30 AM-2:30 PM","","2:30PM- 5:30PM","PK-8","(773) 535-9330","https://owenscholasticacademy.org","https://owenscholasticacademy.org/apps/contact","","","","","","","","","41.742858"," -87.705755"
"OWENS","12302 S STATE ST","West Pullman","08:30 AM-03:30 PM","","","PK-8","(773) 535-5475","https://gompersschool.org","https://gompersschool.org/apps/contact","","","","","","","","","41.670625"," -87.622551"
"PALMER","5051 N KENNETH AVE","Albany Park","08:00 AM-03:00 PM","7:30 AM","3:00 - 4:00 PM","PK-8","(773) 534-3704","https://palmerpride.org","https://palmerpride.org/apps/contact","True","True","","FORGE","""A reminder, this is our final year of FORGE before/after school programming and we are so excited to see you all again."" <a href=""https://www.palmerpride.org/apps/news/show_news.jsp?REC_ID=925117&id=0"">[1]</a>
","December 12th","FORGE","""FORGE's FREE After School program will be back on WEDNESDAY September 11th!"" <a href=""https://www.palmerpride.org/apps/news/show_news.jsp?REC_ID=925117&id=0"">[1]</a>
","41.973297"," -87.739219"
"PARK MANOR","7037 S RHODES AVE","Greater Grand Crossing","07:50AM-3:00PM","","","PK-8","(773) 535-3070","https://www.parkmanor.cps.edu","https://www.parkmanor.cps.edu/apps/contact","","","","","","","","","41.766484"," -87.611551"
"PARKER","6800 S STEWART AVE","Englewood","07:45 AM-02:45 PM","7:30AM","3:00PM - 6:00PM","PK-8","(773) 535-3375","https://parker.cps.edu","https://parker.cps.edu/apps/contact","","True","","","","5:30 PM","Community School Programming","""Community School Programming | 3:00 PM | 5:30 PM | 150 min"" <a href=""https://www.parker.cps.edu/apps/bell_schedules/"">[1]</a>
","41.770788"," -87.634092"
"PARKSIDE","6938 S EAST END AVE","South Shore","08:30 AM-03:30 PM","08:30 AM","03:30 PM - 04:45 PM","PK-8","(773) 535-0940","https://parksideacademy.org","https://parksideacademy.org/apps/contact","","True","","","","5:00 PM","","""After School Programs | 3:45 PM | 5:00 PM | 75 min"" <a href=""https://www.parksideacademy.org/apps/bell_schedules/"">[1]</a>
","41.768563"," -87.58296"
"PASTEUR","5825 S KOSTNER AVE","West Elsdon","8:05 AM-3:05 PM MAIN","8:00 AM","","PK-4","(773) 535-2270","http://pasteur.cps.edu","","True","True","6:45 - 7:45 am","Not specified","""**Monday—Friday from 6:45 - 7:45 am** | Began on September 16th for those that signed up at our back to school bash."" <a href=""http://pasteur.cps.edu/morning-risers-and-after-school-programs.html"">[1]</a>
","5:30 pm","YMCA","""Join the Fun with the YMCA!! The program consists of Homework Help, Enrichment Activities, and Fitness Fun activities."" <a href=""http://pasteur.cps.edu/morning-risers-and-after-school-programs.html"">[1]</a>
","41.786903"," -87.732672"
"PECK","3826 W 58TH ST","West Elsdon","8:15 AM - 3:15 PM","7:45 AM","3:30 PM - 5:00 PM (NOT AFTER-CARE)","PK-4","(773) 535-2450","https://peckelementary.org","https://peckelementary.org/apps/contact","","True","","","","","","""- Chips Program ( After-School Health Program)"" <a href=""https://www.peckelementary.org/apps/pages/index.jsp?uREC_ID=213133&type=d"">[1]</a>
","41.787907"," -87.719222"
"PEIRCE","1423 W BRYN MAWR AVE","Edgewater","08:00 AM-03:00 PM","","","PK-8","(773) 534-2440","http://peirce.cps.edu","","True","True","7:00 - 8:00am","Lakeview YMCA and Apollo","""Before Care runs from 7:00 - 8:00am and After Care runs from 3:00 - 6:00pm."" <a href=""http://peirce.cps.edu/before--after-school-programs.html"">[1]</a>
","6:00pm","Lakeview YMCA and Apollo","""Before Care runs from 7:00 - 8:00am and After Care runs from 3:00 - 6:00pm."" <a href=""http://peirce.cps.edu/before--after-school-programs.html"">[1]</a>
","41.983464"," -87.665856"
"PENN","1616 S AVERS AVE","North Lawndale","7:30 AM-3:30 PM","","","PK-8","(773) 534-1665","https://penn.cps.edu","https://penn.cps.edu/apps/contact","","True","","","","5:00 PM","","""Penn offers a variety of after school programs such as Dr. Ollie's School Wide Success program that supports reading and math, Family Focus-21st Century programs that feature Robotics, Mad Science, and Technology. Penn also, offers special after school programs such as Arts and Crafts, Boxing, Basket Ball, and Penn Times News Club."" <a href=""https://www.penn.cps.edu/apps/pages/index.jsp?uREC_ID=376112&type=d"">[1]</a>
""After School (Mon.-Thurs.) | 3:00 PM | 5:00 PM | 120 min"" <a href=""https://www.penn.cps.edu/apps/bell_schedules/"">[2]</a>
","41.85838"," -87.722391"
"PEREZ","1241 W 19TH ST","Lower West Side","08:00 AM-03:00 PM","","","PK-8","(773) 534-7650","https://perezelementary.org/","https://perezelementary.org/apps/contact","","True","","","","6:00","Forward Momentum and Frida Kahlo","""Perez partners with [Frida Kahlo](https://fridacommunity.org/) in offering after school programs Monday - Friday 3:00 - 6:00 and Saturday mornings."" <a href=""https://perezelementary.org/after-school-programs/"">[1]</a>
""Girls in the Game is an after-school program providing a safe, positive, all-girl space where girls can be themselves."" <a href=""https://perezelementary.org/partnerships/"">[2]</a>
","41.856037"," -87.657986"
"PERSHING","3200 S CALUMET AVE","Douglas","9:00 AM - 4:00 PM","8:00 AM","4:05 PM - 6:00 PM","PK-8","(773) 534-9272","https://pershingcps.org","https://pershingcps.org/apps/contact","","","","","","","","","41.836535"," -87.618343"
"PETERSON","5510 N CHRISTIANA AVE","North Park","08:45 AM-03:45 PM","8:40 AM","","PK-8","(773) 534-5070","http://www.peterson.cps.edu/","","True","True","7:00-8:45 a.m.","YMCA","""Peterson is partnering with the YMCA to provide before and after school care for Peterson families. The program runs every day school is in session from 7:00-8:45 a.m. for before care and then from dismissal until 6:00 p.m. for after care."" <a href=""http://www.peterson.cps.edu/s/FAQs-for-K-Families-2023-24.pdf"">[1]</a>
","6:00 p.m.","YMCA","""Peterson is partnering with the YMCA to provide before and after school care for Peterson families. The program runs every day school is in session from 7:00-8:45 a.m. for before care and then from dismissal until 6:00 p.m. for after care."" <a href=""http://www.peterson.cps.edu/s/FAQs-for-K-Families-2023-24.pdf"">[1]</a>
","41.981565"," -87.712588"
"PICCOLO","1040 N KEELER AVE","Humboldt Park","8:45 AM - 3:45 PM","","","PK-8","(773) 534-4425","https://piccoloschoolofexcellence.org","https://piccoloschoolofexcellence.org/apps/contact","True","True","","Piccolo Out of School Time Programs (OST)","""OST Programming happens before or after school."" <a href=""https://www.piccoloschoolofexcellence.org/apps/pages/index.jsp?uREC_ID=463069&type=d"">[1]</a>
","5:00 PM","Piccolo Out of School Time Programs (OST)","""OST Programming happens before or after school."" <a href=""https://www.piccoloschoolofexcellence.org/apps/pages/index.jsp?uREC_ID=463069&type=d"">[1]</a>
""After School Monday | 4:00 PM | 5:00 PM | 60 min"" <a href=""https://www.piccoloschoolofexcellence.org/apps/bell_schedules/"">[2]</a>
","41.900148"," -87.731266"
"PICKARD","2301 W 21ST PL","Lower West Side","07:30 AM-02:30 PM","","","PK-8","(773) 535-7280","http://www.pickard.cps.edu","","","","","","","","","","41.852908"," -87.683297"
"PILSEN","1420 W 17TH ST","Lower West Side","8:00 AM - 3:00 PM","7:30 AM","3:00 PM - 5:00 PM","PK-8","(773) 534-7675","https://pilsenacademy.org","https://pilsenacademy.org/apps/contact","True","True","7:30 AM","","""Earliest Drop Off | 7:30 AM | — | —"" <a href=""https://www.pilsenacademy.org/apps/bell_schedules/"">[1]</a>
","5:00 PM","","""After School Hours | 3:00 PM | 5:00 PM | 120 min"" <a href=""https://www.pilsenacademy.org/apps/bell_schedules/"">[1]</a>
","41.858857"," -87.662215"
"PIRIE","650 E 85TH ST","Chatham","8:30 AM-3:30 PM","8:15 AM","","PK-6","(773) 535-3435","https://pirie.cps.edu","https://pirie.cps.edu/apps/contact","","","","","","","","","41.740348"," -87.607897"
"PLAMONDON","2642 W 15TH PL","North Lawndale","08:30 AM-03:30 PM","8:15","","K-8","(773) 534-1789","https://sites.google.com/cps.edu/plamondonpantherforparents/home","","","","","","","","","","41.860267"," -87.692532"
"PLATO","5545 W HARRISON ST","Austin","8:00 AM-3:30 PM","07:30 AM","","K-8","(773) 413-3090","http://www.platolearningacademy.org","","","True","","","","","Columbus Park","""Our longest running and possibly most popular choice for after-school programs is our collaboration with Columbus Park located across the street from our Primary Campus. This branch of the Chicago Park District offers our students a plethora of activities including tutoring, sports, art-and-crafts, and much more."" <a href=""http://www.platolearningacademy.org/extracurriculars.html"">[1]</a>
""By The Hand is a Chicago-base, after-school program that emphasizes academic excellence while nurturing the whole child - mind, body, and soul. Providing transportation between the school and the students' homes, By The Hand is committed to ensuring our students' safety."" <a href=""http://www.platolearningacademy.org/partnerships.html"">[2]</a>
","41.872768"," -87.763343"
"POE","10538 S LANGLEY AVE","Pullman","9:00 AM-4:00 PM","","","K-8","(773) 535-5525","https://poe.cps.edu","https://poe.cps.edu/apps/contact","True","True","7:30 a.m.","Something To Build Upon","""Yes. Our before care provider is Something To Build Upon. It is a fee-based program that offers before care beginning at 7:30 a.m. every day that school Is in session."" <a href=""https://www.poe.cps.edu/apps/pages/index.jsp?uREC_ID=424736&type=d"">[1]</a>
","6 p.m.","Something To Build Upon","""Yes. Our after care provider Is Something To Build Upon. It is a fee based program that offers after core, homework help, and enrichment programs from 4 p.m. to 6 p.m. every day that school is in session."" <a href=""https://www.poe.cps.edu/apps/pages/index.jsp?uREC_ID=424736&type=d"">[1]</a>
","41.702638"," -87.606425"
"PORTAGE PARK","5330 W BERTEAU AVE","Portage Park","08:45 AM-03:45 PM","","","PK-8","(773) 534-3576","https://portageparkschool.org","https://portageparkschool.org/apps/contact","True","True","","Fun Club","""The Fun Club program is available for students currently enrolled at Portage Park"" <a href=""https://www.portageparkschool.net/apps/news/index.jsp?id=0"">[1]</a>
","","Fun Club","""The Fun Club program is available for students currently enrolled at Portage Park Kindergarten to 5th grade."" <a href=""https://www.portageparkschool.net/"">[1]</a>
","41.956995"," -87.761013"
